constraint_threshold,environment_steps,num_seeds,long_run_average_reward_mean,long_run_average_reward_std,long_run_average_global_cost_mean,long_run_average_global_cost_std,constraint_violation_mean,constraint_violation_std
0.0,64,20,5.432968749999995,0.9988071376608116,0.9146875000000007,0.19602021778696754,0.9146875000000007,0.19602021778696754
0.0,128,20,6.088203124999994,0.8528680466691746,1.0214843750000013,0.16498762604524922,1.0214843750000013,0.16498762604524922
0.0,192,20,6.354739583333328,0.7928156050803056,1.065260416666668,0.15171805269321423,1.065260416666668,0.15171805269321423
0.0,256,20,6.2433203124999945,0.6533471640595575,0.9680468750000012,0.09892485384868863,0.9680468750000012,0.09892485384868863
0.0,320,20,6.172312499999996,0.5997684807229777,0.894437500000001,0.07913988307895088,0.894437500000001,0.07913988307895088
0.0,384,20,6.145651041666663,0.4865158578976574,0.8488541666666676,0.05172680052314389,0.8488541666666676,0.05172680052314389
0.0,448,20,6.124174107142855,0.41766226842743703,0.8133035714285723,0.0443372575912662,0.8133035714285723,0.0443372575912662
0.0,512,20,6.1081640624999975,0.36532629399815375,0.7866406250000006,0.03879510039235792,0.7866406250000006,0.03879510039235792
0.0,576,20,6.094843749999997,0.32433502117137564,0.7659027777777786,0.034484533682095926,0.7659027777777786,0.034484533682095926
0.0,640,20,6.084890624999998,0.2922556283374569,0.7493125000000007,0.03103608031388633,0.7493125000000007,0.03103608031388633
0.0,704,20,6.076605113636362,0.26563583587219936,0.7357386363636371,0.02821461846716941,0.7357386363636371,0.02821461846716941
0.0,768,20,6.069309895833333,0.24408824125517148,0.7244270833333342,0.02586340026157198,0.7244270833333342,0.02586340026157198
0.0,832,20,6.063137019230768,0.2249664088147341,0.71485576923077,0.023873907933758747,0.71485576923077,0.023873907933758747
0.0,896,20,6.057566964285714,0.20872938292763954,0.7066517857142867,0.02216862879563312,0.7066517857142867,0.02216862879563312
0.0,960,20,6.052270833333332,0.19472307058679483,0.6995416666666676,0.020690720209257583,0.6995416666666676,0.020690720209257583
0.0,1024,20,6.047451171874999,0.18217707321141058,0.693242187500001,0.01937440932819394,0.693242187500001,0.01937440932819394
0.0,1088,20,6.040891544117645,0.1703453427648074,0.6874816176470597,0.01811831512268592,0.6874816176470597,0.01811831512268592
0.0,1152,20,6.027934027777777,0.15789261866605564,0.6808767361111121,0.016622960179993245,0.6808767361111121,0.016622960179993245
0.0,1216,20,5.977368421052629,0.13614715321837154,0.6616529605263166,0.011795443866017257,0.6616529605263166,0.011795443866017257
0.0,1280,20,5.918875,0.11888517799488296,0.6397890625000009,0.007889507191863666,0.6397890625000009,0.007889507191863666
0.0,1344,20,5.8637202380952385,0.11190444133059473,0.6190401785714292,0.006901534004065215,0.6190401785714292,0.006901534004065215
0.0,1408,20,5.813380681818183,0.10812769830746732,0.5999928977272734,0.006587827912971334,0.5999928977272734,0.006587827912971334
0.0,1472,20,5.767146739130437,0.10293020928387879,0.5825679347826094,0.006276688645839071,0.5825679347826094,0.006276688645839071
0.0,1536,20,5.724876302083334,0.0985797864803116,0.5665820312500005,0.006051575000838773,0.5665820312500005,0.006051575000838773
0.0,1600,20,5.685912500000002,0.09707565590172455,0.5519187500000005,0.0058095120008052345,0.5519187500000005,0.0058095120008052345
0.0,1664,20,5.6509975961538474,0.09319829730431485,0.538383413461539,0.005586069231543488,0.538383413461539,0.005586069231543488
0.0,1728,20,5.618032407407411,0.08956375396142431,0.5258506944444449,0.005379177778523359,0.5258506944444449,0.005379177778523359
0.0,1792,20,5.587170758928575,0.08616139719005601,0.5142131696428576,0.005187064286433232,0.5142131696428576,0.005187064286433232
0.0,1856,20,5.558033405172417,0.08331268034782363,0.503378232758621,0.005008200000694155,0.503378232758621,0.005008200000694155
0.0,1920,20,5.53008854166667,0.07989421903926526,0.49326041666666703,0.0048377651197806775,0.49326041666666703,0.0048377651197806775
0.0,1984,20,5.505604838709681,0.07798453423384422,0.4838004032258067,0.004681708180432915,0.4838004032258067,0.004681708180432915
0.0,2048,20,5.482089843750004,0.07564087377994687,0.4749316406250004,0.0045354047997943885,0.4749316406250004,0.0045354047997943885
0.0,2112,20,5.460781250000005,0.07317958719969535,0.46660037878787897,0.004397968290709704,0.46660037878787897,0.004397968290709704
0.0,2176,20,5.439393382352945,0.07051478974340239,0.4587591911764707,0.004268616282159425,0.4587591911764707,0.004268616282159425
0.0,2240,20,5.419674107142862,0.0688758662014034,0.4513660714285715,0.004146655816954876,0.4513660714285715,0.004146655816954876
0.0,2304,20,5.400659722222228,0.06707728430392167,0.44438368055555577,0.0040314709331505764,0.44438368055555577,0.0040314709331505764
0.0,2368,20,5.382820945945952,0.06512215608533764,0.43777871621621633,0.0039225122592816365,0.43777871621621633,0.0039225122592816365
0.0,2432,20,5.36639391447369,0.06324023998925588,0.4315213815789475,0.0038192882524584375,0.4315213815789475,0.0038192882524584375
0.0,2496,20,5.350568910256415,0.062087213969532644,0.4255849358974359,0.0037213577844466762,0.4255849358974359,0.0037213577844466762
0.0,2560,20,5.3344296875000055,0.05992035271452928,0.41991796875,0.003617489103921693,0.41991796875,0.003617489103921693
0.0,2624,20,5.319725609756103,0.05817321937431437,0.41452743902439027,0.003546656968804895,0.41452743902439027,0.003546656968804895
0.0,2688,20,5.305621279761911,0.05647794146156476,0.40941964285714294,0.0034622127552619256,0.40941964285714294,0.0034622127552619256
0.0,2752,20,5.292445494186053,0.05509728248911256,0.4045494186046512,0.003381696179558157,0.4045494186046512,0.003381696179558157
0.0,2816,20,5.279620028409097,0.05377787479981038,0.3999005681818182,0.003304839448204563,0.3999005681818182,0.003304839448204563
0.0,2880,20,5.267798611111116,0.05222239814169553,0.39545833333333336,0.0032313985715777933,0.39545833333333336,0.0032313985715777933
0.0,2944,20,5.256728940217397,0.05085144003577525,0.3912092391304348,0.0031611507765434916,0.3912092391304348,0.0031611507765434916
0.0,3008,20,5.245831117021284,0.050265997463538034,0.3871409574468085,0.0030938922493829947,0.3871409574468085,0.0030938922493829947
0.0,3072,20,5.234869791666673,0.04921829960800326,0.38322265624999996,0.0030153211090224535,0.38322265624999996,0.0030153211090224535
0.0,3136,20,5.224674744897966,0.048046735295769305,0.37948022959183664,0.0029556956126148004,0.37948022959183664,0.0029556956126148004
0.0,3200,20,5.214900000000006,0.04681518016359642,0.3758906249999999,0.002896581700362508,0.3758906249999999,0.002896581700362508
0.0,3264,20,5.204834558823536,0.04601392127537692,0.3724417892156861,0.002839785980747554,0.3724417892156861,0.002839785980747554
0.0,3328,20,5.19538161057693,0.04513188454938277,0.36912560096153835,0.0027851747118870247,0.36912560096153835,0.0027851747118870247
0.0,3392,20,5.1865418632075535,0.04408634109544123,0.36592865566037724,0.002736971841316467,0.36592865566037724,0.002736971841316467
0.0,3456,20,5.177578125000006,0.04324310705290573,0.3628530092592591,0.002684393092383099,0.3628530092592591,0.002684393092383099
0.0,3520,20,5.168951704545462,0.042117262371955934,0.35989204545454534,0.0026355859452488633,0.35989204545454534,0.0026355859452488633
0.0,3584,20,5.160968191964292,0.04124708996984462,0.35703683035714273,0.0025885219105122688,0.35703683035714273,0.0025885219105122688
0.0,3648,20,5.15222861842106,0.040280196169393344,0.3542763157894735,0.0025448874020362385,0.3542763157894735,0.0025448874020362385
0.0,3712,20,5.144269935344835,0.03964636581064641,0.3516163793103446,0.002501010033035605,0.3516163793103446,0.002501010033035605
0.0,3776,20,5.136845868644074,0.038680612354251714,0.3490466101694914,0.0024586200324756835,0.3490466101694914,0.0024586200324756835
0.0,3840,20,5.129773437500007,0.03797061922053526,0.3465624999999998,0.002417643031934422,0.3465624999999998,0.002417643031934422
0.0,3904,20,5.1227792008196795,0.03749167524320004,0.34415983606557365,0.002378009539607624,0.34415983606557365,0.002378009539607624
0.0,3968,20,5.115972782258072,0.0367784222436718,0.3418346774193546,0.0023396545470333167,0.3418346774193546,0.0023396545470333167
0.0,4032,20,5.1091840277777845,0.036094946516582384,0.33958333333333324,0.0023025171732708742,0.33958333333333324,0.0023025171732708742
0.0,4096,20,5.1028027343750075,0.03547669376364972,0.3374023437499999,0.0022665403424385207,0.3374023437499999,0.0022665403424385207
0.0,4160,20,5.096560096153853,0.0347560259710445,0.33528605769230746,0.0022388817074437024,0.33528605769230746,0.0022388817074437024
0.0,4224,20,5.090116003787886,0.034095304571828834,0.3332339015151513,0.0022033026132580995,0.3332339015151513,0.0022033026132580995
0.0,4288,20,5.083866604477619,0.03349644740127861,0.3312406716417908,0.0021664898561839737,0.3312406716417908,0.0021664898561839737
0.0,4352,20,5.077980238970595,0.03338039063248811,0.32931066176470564,0.0021346297112400927,0.32931066176470564,0.0021346297112400927
0.0,4416,20,5.072031250000007,0.03283844147307425,0.32743206521739115,0.0021008391402497217,0.32743206521739115,0.0021008391402497217
0.0,4480,20,5.065854910714292,0.03230646689954771,0.3255915178571426,0.00206681844402173,0.3255915178571426,0.00206681844402173
0.0,4544,20,5.060140845070431,0.03187707543779803,0.3238226232394364,0.0020377083250918645,0.3238226232394364,0.0020377083250918645
0.0,4608,20,5.054726562500008,0.03122023352054884,0.3221028645833331,0.0020094068205766904,0.3221028645833331,0.0020094068205766904
0.0,4672,20,5.049377140410966,0.030806962443203467,0.32042808219178054,0.001983670243067949,0.32042808219178054,0.001983670243067949
0.0,4736,20,5.043918918918928,0.0302891511100599,0.31878800675675645,0.001959336588936529,0.31878800675675645,0.001959336588936529
0.0,4800,20,5.038647916666674,0.030356491488985237,0.3172020833333331,0.0019318814142206316,0.3172020833333331,0.0019318814142206316
0.0,4864,20,5.0335999177631665,0.030060544828949733,0.31563527960526283,0.0019032932739008854,0.31563527960526283,0.0019032932739008854
0.0,4928,20,5.02895292207793,0.030089958464341805,0.3141233766233763,0.0018791504773959862,0.3141233766233763,0.0018791504773959862
0.0,4992,20,5.024242788461547,0.02973479554945229,0.3126522435897433,0.0018489746106597964,0.3126522435897433,0.0018489746106597964
